temp,hum,mq135,pm25_pred
27.9,74.4,480.0,480.00
27.9,74.3,480.0,480.00
27.9,74.2,480.0,480.00
27.9,74.0,480.0,480.00
27.9,73.9,480.0,480.00
27.9,73.9,480.0,480.00
27.9,74.0,480.0,480.00
27.9,74.1,474.0,474.00
28.0,74.2,480.0,480.00
28.0,74.2,480.0,480.00
27.9,74.2,480.0,480.00
27.9,74.1,480.0,480.00
27.9,74.1,486.0,486.00
27.9,74.0,486.0,486.00
27.9,74.0,486.0,486.00
27.9,74.1,486.0,486.00
27.9,74.2,486.0,486.00
27.9,74.2,486.0,486.00
27.9,73.9,486.0,486.00
27.8,73.8,486.0,486.00
27.8,73.9,492.0,492.00
27.8,73.9,486.0,486.00
27.8,73.8,486.0,486.00
27.8,73.8,486.0,486.00
27.8,73.8,480.0,480.00
27.8,73.9,486.0,486.00
27.8,74.1,486.0,486.00
27.8,74.0,492.0,492.00
27.8,74.1,486.0,486.00
27.8,74.2,486.0,486.00
27.8,74.1,480.0,480.00
27.8,73.9,486.0,486.00
27.8,74.0,480.0,480.00
27.8,74.1,480.0,480.00
27.8,74.2,486.0,486.00
27.8,74.1,486.0,486.00
27.8,73.7,492.0,492.00
27.9,73.5,492.0,492.00
27.9,73.5,492.0,492.00
27.9,73.5,492.0,492.00
27.9,73.3,492.0,492.00
27.9,73.3,486.0,486.00
27.9,73.3,492.0,492.00
27.9,73.3,492.0,492.00
27.9,73.4,492.0,492.00
27.9,73.4,492.0,492.00
28.0,73.5,492.0,492.00
27.9,73.4,492.0,492.00
27.9,73.4,498.0,498.00
27.9,73.4,492.0,492.00
27.9,73.3,492.0,492.00
27.8,73.3,492.0,492.00
27.8,73.3,492.0,492.00
27.8,73.2,492.0,492.00
27.7,73.2,498.0,498.00
27.7,73.1,492.0,492.00
27.7,73.1,498.0,498.00
27.7,73.1,492.0,492.00
27.7,73.2,498.0,498.00
27.7,73.1,498.0,498.00
27.7,73.2,498.0,498.00
27.8,73.0,498.0,498.00
27.8,72.9,498.0,498.00
27.8,72.8,498.0,498.00
27.8,72.6,498.0,498.00
27.8,72.6,498.0,498.00
27.8,72.5,498.0,498.00
27.8,72.5,492.0,492.00
27.7,72.4,498.0,498.00
27.7,72.4,498.0,498.00
27.7,72.4,498.0,498.00
27.7,72.3,492.0,492.00
27.7,72.4,498.0,498.00
27.7,72.4,498.0,498.00
27.7,72.4,498.0,498.00
27.7,72.6,498.0,498.00
27.7,72.6,498.0,498.00
27.7,72.6,492.0,492.00
27.6,72.8,498.0,498.00
27.6,72.8,492.0,492.00
27.6,72.7,492.0,492.00
27.7,72.8,492.0,492.00
27.7,72.9,498.0,498.00
27.7,72.8,492.0,492.00
27.8,72.6,498.0,498.00
27.8,72.5,498.0,498.00
27.8,72.6,498.0,498.00
27.8,72.5,498.0,498.00
27.7,72.5,498.0,498.00
27.7,72.7,498.0,498.00
27.7,72.7,492.0,492.00
27.6,72.8,498.0,498.00
27.6,72.9,498.0,498.00
27.6,72.9,498.0,498.00
27.5,73.1,498.0,498.00
27.5,73.1,498.0,498.00
27.5,73.2,498.0,498.00
27.5,73.3,498.0,498.00
27.5,73.3,498.0,498.00
27.5,73.4,498.0,498.00
27.5,73.4,498.0,498.00
27.5,73.5,498.0,498.00
27.4,73.5,498.0,498.00
27.4,73.5,498.0,498.00
27.4,73.5,498.0,498.00
27.4,73.6,498.0,498.00
27.4,73.6,498.0,498.00
